alumni_id,graduation_year,degree_type,total_jobs,daen_program_rating,job_titles_1,job_titles_2,job_companies_1,job_companies_2,job_companies_3,technologies_used_1,technologies_used_2,technologies_used_3,technologies_used_4,technologies_used_5,technologies_used_6,technologies_used_7,technologies_used_8,technologies_used_9,technologies_used_10,technologies_used_11,technologies_used_12,technologies_used_13,tools_used_1,tools_used_2,tools_used_3,tools_used_4,tools_used_5,tools_used_6,tools_used_7,tools_used_8,daen_program_courses_1,daen_program_courses_2,daen_program_courses_3,daen_program_courses_4,daen_program_courses_5,daen_program_courses_6,daen_program_courses_7,daen_program_tools_1,daen_program_tools_2,daen_program_tools_3,daen_program_tools_4,daen_program_technologies_1,daen_program_technologies_2,daen_program_technologies_3,daen_program_technologies_4,daen_program_valuable_skills_1,daen_program_valuable_skills_2,daen_program_valuable_skills_3,daen_program_valuable_skills_4,daen_program_valuable_skills_5,daen_program_valuable_skills_6,daen_program_potential_improvement_1,daen_program_potential_improvement_2,daen_program_potential_improvement_3,daen_program_potential_improvement_4,daen_program_potential_improvement_5,daen_program_potential_improvement_6,course_certification_completed_1,course_certification_completed_2,course_certification_completed_3,course_certification_completed_4
CEC-DAEN-2019-MS-1,2019,MS,3,3.0,Data Scientist,,C&M Associates,Choice Hotels International,,Python,R,SQL,AWS,,,,,,,,,,MS Excel,CUBE,ESRI,ArcGIS,,,,,DAEN690,,,,,,,Machine Learning,Scripting,Data Wrangling,,R,SQL,,,Programming,Data Wrangling,SQL,Machine Learning,,,Python,Cloud,Data Engineering,Docker,MLOps,Practical Application,,,,
CEC-DAEN-2019-MS-2,2019,MS,4,3.75,Data Engineer,Machine Learning Engineer,Fannie Mae,Activision Blizzard Media,,Python,GCP,Docker,BigQuery,,,,,,,,,,Evidently AI,Looker Studio,MS Excel,Do it,Shell Scripting,Linear Programming,,,OR604,STAT515,Database,,,,,Database Systems,Statistical Analysis,Linear Programming,,,,,,Linear Programming,Optimization,Statistical Analysis,Statistical Visualization,Database,Feature Engineering,Earlier Longer DAEN Capstone Project,Project Management,MLOps,Production Deployment,Cloud,,Team Communication LinkedIn Course,Project Management LinkedIn Course,,
CEC-DAEN-2019-MS-3,2019,MS,4,3.0,Data Analyst,Data Scientist,Databuoy Corp,Ashling Partners,,AWS,Python,Redis,MS Azure,OpenAI,MS SQL Server,PostgreSQL,OracleSQL,Snowflake,Databricks,LangChain,Llamaindex,GCP,ArcGIS,MS Power BI,Fishbowl,UiPath,MS Power,TensorFlow,PyAudio,Pydub,GBUS738,AIT580,GBUS739,GBUS720,GBUS721,GBUS744,DAEN690,MS Power BI,IBM SPSS,RapidMiner,SAS Enterprise Miner,AWS,NoSQL,,,Data Modeling,Statistics,Fraud Examination,Financial Statement Analysis,Asset Misappropriation,Account Reconciliations,Deep Learning,AIT Courses,Cloud,,,,Indico Data,UIpath,AWS Data Scientist,Azure Data Scientist
CEC-DAEN-2020-MS-1 ,2020,MS,3,4.0,Software Engineer,Account Strategist,Genius Plaza,Potomac Economics,Market Star,Python,SQL,Django,JavaScript,React,,,,,,,,,Google Analytics,Tableau,MS Power BI,,,,,,Natural Language Processing,Operations Research,Data Mining,,,,,NLP,XGBoost,Naive Bayes,,,,,,Data Analysis,Sentiment Analysis,Data Preparation,Data Modeling,Monte Carlo Simulations,MS Excel,Cloud,AI Ethics,Hands-on Projects,Real-world Business Problems,Interdisciplinary Collaboration,Industry Collaboration,Google Project Management,,,
CEC-DAEN-2020-MS-2,2020,MS,2,4.0,Data Analyst,Data Analytics Engineer,Verizon,Association Analytics,,SQL,Python,AWS,Databricks,ELK stack,,,,,,,,,GitHub,Jira,Kibana,,,,,,Data Mining,,,,,,,,,,,SQL,R,,,Data Analysis,Data Transformation,SQL,,,,Cloud,Version Control,Hands-on Projects,,,,DBT training for analytics engineer,,,
CEC-DAEN-2020-MS-3,2020,MS,2,5.0,Data Scientist,Data Analyst,Comscore,,,Python,SQL,Spark,AWS,Hadoop,Snowflake,,,,,,,,Zeppelin,MS Power BI,,,,,,,STAT515,OR568,AIT580,AIT690,AID726,OR531,AID582,Statistical Analysis,NLP,Machine Learning,,R,Python,,,Statistical Analysis,Business Decision Making,NLP Models,LLM Models,Data Modeling,Statistical Modeling,Machine Learning,,,,,,,,,
CEC-DAEN-2020-MS-4,2020,MS,1,3.75,Data Analyst,,FINRA,,,SQL,AWS,,,,,,,,,,,,IBM Cognos,Microstrategy,MS Power BI,Grafana,Splunk,,,,Data Visualization,Data Warehousing,DAEN698,DAEN690,,,,Python Libraries,Data Wrangling,Tableau,,,,,,Statistics,Data Warehousing,Data Modeling,Principal Component Analysis,Data Wrangling,Python,Course Selection Options,Statistics,Math,,,,,,,
CEC-DAEN-2020-MS-5,2020,MS,1,3.0,Data Analyst,,Codice,,,SQL,Python,,,,,,,,,,,,Tableau,MS Excel,SAS,,,,,,Operations Statistics,Database,Advanced Statistics,Data Mining,,,,,,,,R,Python,SQL,,Statistics,Database,Data Mining,Statistical Modeling,,,Tableau,Enterprise-level Visualization Tools,Hands-on Projects,Business Intelligence,,,Financial Modeling of Data from Wharton Online,,,
CEC-DAEN-2021-MS-1,2021,MS,2,4.0,Data Engineer,,National Hockey League,,,Python,SQL,Spark,AWS,Kafka,Snowflake,,,,,,,,ETL,,,,,,,,Database,Excel analytics,,,,,,MS Excel,Database Systems,,,Python,,,,Data Loading,Data Transformation,Real-world Data,Data Preparation,Data Cleaning,MS Excel,Hands-on Projects,Python,Practical Application,,,,Snowflake Snow Pro Core Certification,Snowflake Advanced Architect Certification,,
CEC-DAEN-2021-MS-2,2021,MS,2,4.0,Data Analyst,,CloudNova Technology,LLC,,Python,SQL,NoSQL,Java,Linux,Elasticsearch,AWS,MongoDB,PostgreSQL,,,,,Tableau,Kibana,Jira,Bitbucket,,,,,Database,Market Research,,,,,,Database Systems,,,,SQL,NoSQL,,,Database,Dashboard Creation,Requirements Gathering,Data Workflow,,,Cloud,Hands-on Projects,Big Data,Tableau,,,Tableau Desktop Specialist,PMP certification,ISME Security Awareness Training,
CEC-DAEN-2021-MS-3,2021,MS,1,4.0,Data Analyst,,Data Economy,,,SQL,MS SQL Server,,,,,,,,,,,,Tableau,MS Power BI,,,,,,,CS504,Operations Research,,,,,,,,,,SQL,,,,Problem-solving,Project Management,Documentation,Business Requirements,Solution Transformation,Database,Data visualization,Gen AI,Data Analysis Tools,,,,Integration Engineer Certification,Agile Course,JIRA Course,
CEC-DAEN-2023-MS-1,2023,MS,1,4.5,Data Analyst,,Medica,,,SQL,MS Azure,Snowflake,,,,,,,,,,,Informatica,WINS app,,,,,,,Machine learning,,,,,,,Machine Learning,,,,Hadoop,Spark,Python,Scala,Machine Learning,Project,Python,Hadoop,Spark,,Hands-on Projects,Practical Application,,,,,AWS Cloud Practitioner,Apache Airflow Certification,Snowflake Certification,
CEC-DAEN-2023-MS-2,2023,MS,2,2.0,Project Manager,Estimator,R.B. Hinkle Construction Inc.,,,,,,,,,,,,,,,,MS Project,Viewpoint Vista,MS Lists,MS Excel,Bluebeam Revu,MS Power BI,MS Power Automate,,DAEN690,,,,,,,,,,,,,,,Problem-solving,Agile Methodology,Project,,,,Communication,Data Transfer Methodologies,Cloud,DAX,,,Construction Management Certification,,,
CEC-DAEN-2023-MS-3,2023,MS,2,4.0,Data Engineer,Data Analyst,East West Bank,Capital One,,Python,SQL,Spark,AWS,Scala,MongoDB,MS Azure,Snowflake,Databricks,,,,,Workday,,,,,,,,AIT614,ECE552,GES738,DAEN690,,,,Data Visualization,Cloud Platforms,,,Snowflake,MS Azure,AWS,Python,Python,Real-world Data,Data Visualization,Data Mining,Cloud Computing,Database,Data Science,Machine Learning,DataOps,Cloud,,,,,,
